request_id,category,n,mean,median,trimmed,winsor,sig2,relative_sig2_move,cv,first_half_mean,second_half_mean,half_drift
request_01,utilities,5,1507.8,1483.81,1500.34,1503.646,1500.0,-0.005173099880620742,0.058050882807351135,1479.635,1526.5766666666666,0.031132555157624756
request_01,groceries,26,785.1373076923077,761.015,779.070625,779.3415384615384,790.0,0.006193429174808743,0.16517473545526,794.6815384615385,775.593076923077,-0.024312258953235473
request_01,transport,26,439.19653846153847,426.74,434.4175,438.6973076923077,440.0,0.0018293895058371337,0.16635799302661894,437.1876923076923,441.2053846153846,0.009147823254176535
request_01,dining,13,1089.1884615384615,1070.17,1091.34,1092.32,1100.0,0.00992623301046299,0.10062559686431846,1106.6033333333332,1074.2614285714285,-0.029693580040521465
request_02,utilities,5,2035830.496,2081730.85,2068394.1333333333,2065726.79,2000000.0,-0.01759994069761692,0.05818303901787608,2112694.935,1984587.5366666666,-0.06292635785987039
request_02,healthcare,5,1538993.974,1538498.1,1533631.9966666668,1532658.776,1500000.0,-0.02533731428372697,0.04710115410985353,1531198.945,1544190.66,0.008441693222640163
request_02,entertainment,5,1298171.692,1289187.4,1309793.1566666667,1313914.308,1300000.0,0.0014083714898937734,0.047373010277379994,1328483.645,1277963.7233333334,-0.03891620960308741
request_02,groceries,18,1908881.3033333332,1917086.28,1911734.9416666667,1912827.9094444443,1900000.0,-0.0046526220974685475,0.16705203171506128,1767423.24,2050339.3666666667,0.14821043412842483
request_02,transport,13,1211967.9446153846,1294200.86,1213674.5355555555,1213485.1323076924,1200000.0,-0.009874802933985655,0.1276821869049963,1203085.5933333333,1219581.3885714286,0.013610752092399805
request_02,dining,9,1083819.451111111,1101709.76,1078195.5785714285,1077785.1933333334,1100000.0,0.014929192193682184,0.10305851375393643,1118840.1624999999,1055802.882,-0.058162160159955845
request_03,utilities,5,284387.814,290684.15,285517.3566666667,284483.998,280000.0,-0.015428980371149141,0.05413565240844212,293007.22,278641.54333333333,-0.05051438901199415
request_03,shopping,5,168697.75,173930.81,169240.45333333334,168302.382,170000.0,0.007719427200422057,0.08114732611049287,167883.695,169240.45333333334,0.008042539591270964
request_03,groceries,18,193164.78555555554,184466.85499999998,192178.90083333332,194289.86555555556,190000.0,-0.01638386389348036,0.1536993887782302,196890.39222222223,189439.17888888888,-0.038574387727572254
request_03,transport,9,91041.06444444445,83523.33,90180.01142857144,90177.55777777778,91000.0,-0.00045105408965760095,0.16981819759720476,85787.7025,95243.754,0.10386578361866938
request_03,dining,9,149912.65333333332,146236.28,150940.91857142857,151126.36444444445,150000.0,0.0005826503949100433,0.12723407699634698,134338.29,162372.144,0.1870012529073596
request_04,utilities,5,2003395.618,2004118.6,2000758.1466666667,2000086.056,2000000.0,-0.001694931330332987,0.010290892803901096,1999077.92,2006274.0833333335,0.003591983165320851
request_04,entertainment,5,1385201.354,1375854.05,1383842.46,1385440.142,1400000.0,0.01068338978825453,0.08358841324277468,1430111.865,1355261.0133333332,-0.05403608035071759
request_04,groceries,26,1499474.4753846154,1468304.315,1513651.47,1510602.6969230769,1500000.0,0.00035047253155132314,0.1586467023530383,1498470.1884615384,1500478.7623076923,0.001339518530743056
request_04,transport,26,832507.4142307693,848248.97,847164.8831249999,835156.9492307692,830000.0,-0.003011882162137979,0.16510971452132098,788196.8107692307,876818.0176923077,0.10645095215754005
request_04,dining,13,1748635.07,1839656.04,1774844.778888889,1749436.8130769231,1700000.0,-0.027813161725047674,0.17962398200261584,1813355.1766666668,1693160.692857143,-0.0687361736428652
