request_id,implied_min,baseline_min,residual,normalized_residual,min_date,uniform_variable_pct_at_original_min
request_02,46387539.2,47495165.49,1107626.29,0.024069413924985857,2025-08-13,16.542417357431223
request_03,3541700.0,3640437.0,98737.0,0.017981606264796942,2019-09-14,12.401606203754758
request_04,39088400.0,41295886.07,2207486.07,0.17391365870952497,2024-06-13,29.55446303571064
request_05,13837.0,8575.15,-5261.85,-0.33973721590909095,2026-02-03,-30.55866100233175
request_06,1403.3,1323.82,-79.48,-0.1281108961960026,2026-01-13,-25.273467311116768
request_07,180170.56,179237.22,-933.34,-0.004728166160081036,2024-09-20,-4.0486107436059005
request_08,1084.57,1085.2,0.63,0.0006321493076461059,2025-02-13,0.42749541969200594
request_10,238100.0,188826.85,-49273.15,-0.18475121859767527,2025-03-03,-15.144047505072406
request_11,46651245.0,46460466.62,-190778.38,-0.014552126620900281,2025-05-14,-2.003221608388786
request_13,1733.4,1790.78,57.38,0.06093882752761245,2024-05-14,2.722502158833181
request_14,2797.74,2816.29,18.55,0.003426175612278856,2025-08-14,3.530307355599996
request_15,1283.05,1205.08,-77.97,-0.021158751696065136,2026-01-14,-25.073158182461338
request_17,409949.57999999996,409123.67,-825.91,-0.003007683903860067,2026-03-14,-1.8742606245961433
request_18,1862.0,1946.05,84.05,0.02589260959305011,2026-07-14,20.80703057309072
request_19,121620.0,117976.15,-3643.85,-0.09187720625315193,2024-09-14,-10.967572993497159
request_20,69900.0,73351.68,3451.68,0.011365426407639094,2026-02-13,23.227494428114557
request_21,3343.35,3473.13,129.78,0.08243140243902451,2026-04-12,39.66138989059354
request_22,975.46,964.62,-10.84,-0.014818865345181178,2024-12-14,-11.193721602643569
request_23,36152.0,35360.17,-791.83,-0.020828861531986577,2025-05-14,-8.90033641952067
request_24,64420.0,64539.29,119.29,0.001088412408759132,2026-01-13,0.8164558738076444
request_25,24804100.0,23755183.4,-1048916.6,-0.01733861081724414,2024-03-14,-15.647725783979851
