request_id,category,variable,forecast_amount,count_to_min,debits_to_min,required_amount_at_original_min,required_pct_change,global_single_category_solution,new_min_date,identifiable
request_02,utilities,True,2035830.5,1,2035830.5,3143456.79,54.406606542145774,3143456.785,2025-08-13,False
request_02,insurance,False,1132400.0,1,1132400.0,2240026.29,97.81228276227473,2240026.285,2025-08-13,False
request_02,education,False,3040000.0,1,3040000.0,4147626.29,36.43507532894734,4147626.285,2025-08-13,False
request_02,groceries,True,1908881.3,1,1908881.3,3016507.59,58.02489080908274,3016507.585,2025-08-13,False
request_02,healthcare,True,1538993.97,1,1538993.97,2646620.26,71.97080115914939,2646620.255,2025-08-13,False
request_02,transport,True,1211967.94,1,1211967.94,2319594.23,91.39072523651073,2319594.225,2025-08-13,False
request_02,cloud_storage,False,369550.0,1,369550.0,1477176.29,299.7229847111349,1477176.285,2025-08-13,False
request_03,rent,False,1140000.0,1,1140000.0,1238737.0,8.661140350877194,1238736.995,2019-09-14,False
request_03,utilities,True,284387.81,1,284387.81,383124.81,34.7191393330115,383124.805,2019-09-14,False
request_03,groceries,True,193164.79,1,193164.79,291901.79,51.115423261144024,291901.785,2019-09-14,False
request_03,streaming,False,117800.0,1,117800.0,216537.0,83.81748726655348,216536.995,2019-09-14,False
request_03,shopping,True,168697.75,1,168697.75,267434.75,58.52893710793416,267434.745,2019-09-14,False
request_03,dining,True,149912.65,1,149912.65,248649.65,65.8630208991703,248649.645,2019-09-14,False
request_03,cloud_storage,False,20900.0,1,20900.0,119637.0,472.42583732057415,119636.995,2019-09-14,False
request_04,utilities,True,2003395.62,1,2003395.62,4210881.69,110.1872265249337,4210881.685,2024-06-13,False
request_04,groceries,True,1499474.48,1,1499474.48,3706960.55,147.2173150956194,2803001.0642,2024-07-14,False
request_04,gym,False,1027900.0,1,1027900.0,3235386.07,214.75688977527,3235386.065,2024-06-13,False
request_04,transport,True,832507.41,1,832507.41,3039993.48,265.1611317189357,2136033.9942,2024-07-14,False
request_04,dining,True,1748635.07,1,1748635.07,3956121.14,126.24052370172356,3956121.135,2024-06-13,False
request_04,music_subscription,False,332500.0,1,332500.0,2539986.07,663.9055849624061,2539986.065,2024-06-13,False
request_04,delivery_membership,False,377150.0,1,377150.0,2584636.07,585.3071907729021,2584636.065,2024-06-13,False
request_04,entertainment,True,1385201.35,1,1385201.35,3592687.42,159.36210789860985,3592687.415,2024-06-13,False
