date,balance
2026-04-03,3911.35
2026-04-04,3911.35
2026-04-05,3858.35
2026-04-06,3653.54
2026-04-07,3653.54
2026-04-08,3653.54
2026-04-09,3606.54
2026-04-10,3606.54
2026-04-11,3606.54
2026-04-12,3473.13
2026-04-13,3473.13
2026-04-14,3473.13
2026-04-15,5729.13
2026-04-16,5604.30
2026-04-17,5520.86
2026-04-18,5520.86
2026-04-19,5520.86
2026-04-20,5520.86
2026-04-21,5520.86
2026-04-22,5520.86
2026-04-23,5520.86
2026-04-24,5520.86
2026-04-25,5520.86
2026-04-26,5437.23
2026-04-27,5437.23
2026-04-28,5437.23
2026-04-29,5437.23
2026-04-30,5437.23
2026-05-01,5437.23
2026-05-02,4718.43
2026-05-03,4718.43
2026-05-04,4718.43
2026-05-05,4718.43
2026-05-06,4513.62
2026-05-07,4472.42
2026-05-08,4388.98
2026-05-09,4341.98
2026-05-10,4341.98
2026-05-11,4341.98
2026-05-12,4208.57
2026-05-13,4208.57
2026-05-14,4208.57
2026-05-15,6464.57
2026-05-16,6380.94
2026-05-17,6380.94
2026-05-18,6380.94
2026-05-19,6380.94
2026-05-20,6380.94
2026-05-21,6380.94
2026-05-22,6380.94
2026-05-23,6380.94
2026-05-24,6380.94
2026-05-25,6380.94
2026-05-26,6297.31
2026-05-27,6297.31
2026-05-28,6256.11
2026-05-29,6172.67
2026-05-30,6172.67
2026-05-31,6172.67
2026-06-01,6172.67
2026-06-02,5453.87
2026-06-03,5453.87
2026-06-04,5453.87
2026-06-05,5370.24
2026-06-06,5249.06
2026-06-07,5249.06
2026-06-08,5249.06
2026-06-09,5202.06
2026-06-10,5202.06
2026-06-11,5202.06
2026-06-12,5068.65
2026-06-13,5068.65
2026-06-14,5068.65
2026-06-15,7241.02
2026-06-16,7241.02
2026-06-17,7241.02
2026-06-18,7199.82
2026-06-19,7116.38
2026-06-20,7116.38
2026-06-21,7116.38
2026-06-22,7116.38
2026-06-23,7116.38
2026-06-24,7116.38
2026-06-25,7032.75
2026-06-26,7032.75
2026-06-27,7032.75
2026-06-28,7032.75
2026-06-29,7032.75
2026-06-30,7032.75
2026-07-01,7032.75
